id,type,species,year,district,street,street_location,X,Y
97667,Træer i bevoksninger,Æble,2020,Brønshøj-Husum,,Ikke registreret,12.509559430493738,55.70080333996199
97668,Park- og naturtræer,Magnolia,2020,Brønshøj-Husum,,Ikke registreret,12.509834145453585,55.70098213450453
90950,Park- og naturtræer,Hestekastanie,2010,Nørrebro,,Ikke registreret,12.550571067456442,55.69202876457979
97669,Park- og naturtræer,Magnolia,2020,Brønshøj-Husum,,Ikke registreret,12.509902026210973,55.700957874715535
97670,Træer i bevoksninger,El,2020,Brønshøj-Husum,,Ikke registreret,12.50706779208353,55.702311463002005
97671,Træer i bevoksninger,El,2020,Brønshøj-Husum,,Ikke registreret,12.507017485522246,55.701843341094325
45402,Park- og naturtræer,Birk,2014,Valby,,Ikke registreret,12.498326686394813,55.64443798730179
810,Gade- og allétræer,Ask,2001,Brønshøj-Husum,Gadelandet,Siderabat,12.48153558478269,55.71152529523322
813,Gade- og allétræer,Lind,2012,Brønshøj-Husum,Frederikssundsvej,Vejareal,12.481680380584859,55.70916224162339
817,Gade- og allétræer,Lind,2001,Brønshøj-Husum,Frederikssundsvej,Vejareal,12.483856438812536,55.70821869564265
818,Gade- og allétræer,Lind,2001,Brønshøj-Husum,Frederikssundsvej,Vejareal,12.483851103108988,55.70837357891686
819,Gade- og allétræer,Lind,2001,Brønshøj-Husum,Frederikssundsvej,Vejareal,12.482842225648367,55.70860183393405
97672,Træer i bevoksninger,El,2020,Brønshøj-Husum,,Ikke registreret,12.507039166451905,55.701899209669705
2837,Gade- og allétræer,Løn,2000,Vanløse,Bellahøjvej,Siderabat,12.508492367857796,55.69872803142795
97673,Træer i bevoksninger,El,2020,Brønshøj-Husum,,Ikke registreret,12.506846138861341,55.70197769254889
97674,Træer i bevoksninger,El,2020,Brønshøj-Husum,,Ikke registreret,12.506771466264613,55.701842136773436
3235,Gade- og allétræer,Robinie,2005,Vanløse,Hulgårdsvej,Cykelsti,12.51291546796052,55.69636933521279
3236,Gade- og allétræer,Robinie,2005,Vanløse,Hulgårdsvej,Cykelsti,12.513136314862107,55.69651272845699
3251,Gade- og allétræer,Robinie,2005,Vanløse,Hulgårdsvej,Cykelsti,12.513354093531406,55.69665455486306
3256,Gade- og allétræer,Robinie,2005,Vanløse,Hulgårdsvej,Cykelsti,12.513756932389908,55.69693465965854
3257,Gade- og allétræer,Robinie,2005,Vanløse,Hulgårdsvej,Cykelsti,12.513985388671067,55.69708032051253
97675,Træer i bevoksninger,El,2020,Brønshøj-Husum,,Ikke registreret,12.50663700588686,55.70150158904642
3258,Gade- og allétræer,Robinie,2005,Vanløse,Hulgårdsvej,Cykelsti,12.51417205993395,55.697211239413576
3259,Gade- og allétræer,Robinie,2005,Vanløse,Hulgårdsvej,Cykelsti,12.514342665630059,55.69731912846269
3260,Gade- og allétræer,Robinie,2005,Vanløse,Hulgårdsvej,Cykelsti,12.514568372847126,55.697467820794145
97676,Træer i bevoksninger,El,2020,Brønshøj-Husum,,Ikke registreret,12.506547270776561,55.7014267390919
97677,Træer i bevoksninger,El,2020,Brønshøj-Husum,,Ikke registreret,12.506313222850176,55.70112049759987
2130,Gade- og allétræer,Gingko,2001,Valby,Vigerslev Allé,Midterrabat,12.52229887890647,55.66234635246513
3261,Gade- og allétræer,Robinie,2005,Vanløse,Hulgårdsvej,Cykelsti,12.514786608727807,55.697623508114816
3262,Gade- og allétræer,Robinie,2005,Vanløse,Hulgårdsvej,Cykelsti,12.5149922870203,55.697760805058685
3269,Gade- og allétræer,Robinie,2005,Vanløse,Hulgårdsvej,Cykelsti,12.515195370563168,55.697895729797146
2247,Gade- og allétræer,Lind,2001,Vesterbro-Kongens Enghave,Bavnehøj Allé,Midterrabat,12.534478689542217,55.65852670681471
2241,Gade- og allétræer,Lind,2001,Vesterbro-Kongens Enghave,Bavnehøj Allé,Midterrabat,12.53400738612887,55.65852232962529
2242,Gade- og allétræer,Lind,2001,Vesterbro-Kongens Enghave,Bavnehøj Allé,Midterrabat,12.534024938097968,55.65860748781839
2243,Gade- og allétræer,Lind,2001,Vesterbro-Kongens Enghave,Bavnehøj Allé,Midterrabat,12.534174368854408,55.65852385713159
2244,Gade- og allétræer,Lind,2001,Vesterbro-Kongens Enghave,Bavnehøj Allé,Midterrabat,12.534166481689057,55.658607743191816
2245,Gade- og allétræer,Lind,2001,Vesterbro-Kongens Enghave,Bavnehøj Allé,Midterrabat,12.534333974188408,55.65852839915032
2246,Gade- og allétræer,Lind,2001,Vesterbro-Kongens Enghave,Bavnehøj Allé,Midterrabat,12.534333921816694,55.65861026436499
97678,Træer i bevoksninger,El,2020,Brønshøj-Husum,,Ikke registreret,12.50627053519967,55.70118277771729
97679,Træer i bevoksninger,El,2020,Brønshøj-Husum,,Ikke registreret,12.506304589964667,55.701239593097185
97680,Træer i bevoksninger,El,2020,Brønshøj-Husum,,Ikke registreret,12.50608874823422,55.70101397782954
97681,Træer i bevoksninger,El,2020,Brønshøj-Husum,,Ikke registreret,12.506130366507932,55.70107659261816
97682,Træer i bevoksninger,Eg,2020,Brønshøj-Husum,,Ikke registreret,12.510343384428133,55.70303171481377
97684,Træer i bevoksninger,Eg,2020,Brønshøj-Husum,,Ikke registreret,12.510272297563608,55.7030554865901
97685,Træer i bevoksninger,Eg,2020,Brønshøj-Husum,,Ikke registreret,12.510201095426012,55.70306142018978
97686,Træer i bevoksninger,Eg,2020,Brønshøj-Husum,,Ikke registreret,12.510075279056638,55.70305096244341
97687,Træer i bevoksninger,Eg,2020,Brønshøj-Husum,,Ikke registreret,12.510142868864088,55.703060110852356
97688,Træer i bevoksninger,Eg,2020,Brønshøj-Husum,,Ikke registreret,12.510108091936278,55.70301132095637
97689,Træer i bevoksninger,Eg,2020,Brønshøj-Husum,,Ikke registreret,12.510173558986732,55.70302493543171
97690,Træer i bevoksninger,Eg,2020,Brønshøj-Husum,,Ikke registreret,12.510025730776507,55.70304821814096
97691,Træer i bevoksninger,Eg,2020,Brønshøj-Husum,,Ikke registreret,12.509966126201437,55.703068080144135
97692,Træer i bevoksninger,Eg,2020,Brønshøj-Husum,,Ikke registreret,12.510073184418191,55.703071716888196
97693,Træer i bevoksninger,Eg,2020,Brønshøj-Husum,,Ikke registreret,12.507973243281684,55.70366026519274
97694,Træer i bevoksninger,Eg,2020,Brønshøj-Husum,,Ikke registreret,12.507825066433565,55.703713215029616
97695,Træer i bevoksninger,Eg,2020,Brønshøj-Husum,,Ikke registreret,12.507956213899842,55.70373271372304
97696,Træer i bevoksninger,Eg,2020,Brønshøj-Husum,,Ikke registreret,12.508219817570735,55.70363328569068
97697,Træer i bevoksninger,Eg,2020,Brønshøj-Husum,,Ikke registreret,12.5083961638483,55.703588386494445
97698,Gade- og allétræer,Lind,2020,Østerbro,Borgervænget,Grønt anlæg,12.564461645716843,55.71462011112869
97699,Gade- og allétræer,Lind,2020,Østerbro,Borgervænget,Grønt anlæg,12.564455972382916,55.714679969318425
97700,Gade- og allétræer,Lind,2020,Østerbro,Borgervænget,Grønt anlæg,12.564109730771754,55.71457535477489
19649,Gade- og allétræer,Lind,2005,Østerbro,Rosenvængets Hovedvej,Fortov,12.585787515097833,55.701447699340264
19650,Gade- og allétræer,Lind,2005,Østerbro,Rosenvængets Hovedvej,Fortov,12.585913802128452,55.70147928944606
19653,Gade- og allétræer,Lind,2005,Østerbro,Rosenvængets Hovedvej,Fortov,12.586096337305774,55.701525259317705
97701,Gade- og allétræer,Lind,2020,Østerbro,Borgervænget,Grønt anlæg,12.563684987137188,55.71443374775261
97702,Gade- og allétræer,Lind,2020,Østerbro,Borgervænget,Grønt anlæg,12.563352197866813,55.71432402772726
97703,Gade- og allétræer,Lind,2020,Østerbro,Borgervænget,Grønt anlæg,12.56296319048777,55.71420808518873
97704,Gade- og allétræer,Lind,2020,Østerbro,Borgervænget,Grønt anlæg,12.563097342084662,55.71424503176959
97705,Gade- og allétræer,Lind,2020,Østerbro,Borgervænget,Grønt anlæg,12.56324039101411,55.7142880032918
97706,Gade- og allétræer,Lind,2020,Østerbro,Borgervænget,Grønt anlæg,12.562793593951447,55.71414860469274
838,Gade- og allétræer,Robinie,2000,Brønshøj-Husum,Bystævnet,Siderabat,12.476161713353308,55.71315091318362
97707,Gade- og allétræer,Lind,2020,Østerbro,Borgervænget,Grønt anlæg,12.561620859249182,55.71371350109231
19805,Gade- og allétræer,Tjørn,2005,Østerbro,Gammel Kalkbrænderi Vej,Fortov,12.588578025880574,55.70436623750832
